timestamp,source_ip,dest_ip,username,event_type,auth_method,status_code,user_agent,country,city,is_admin
2024-01-10 02:14:00,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:14:08,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:14:16,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:14:24,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:14:32,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:14:40,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:14:48,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:14:56,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:15:04,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:15:12,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:15:20,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:15:28,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:15:36,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:15:44,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:15:52,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:16:00,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:16:08,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:16:16,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:16:24,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:16:32,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:16:40,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:16:48,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:16:56,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:17:04,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:17:12,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:17:20,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:17:28,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:17:36,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:17:44,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:17:52,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:18:00,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:18:08,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:18:16,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:18:24,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:18:32,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:18:40,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:18:48,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:18:56,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-10 02:19:04,194.165.16.72,10.0.0.1,alice,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-12 03:45:00,194.165.16.72,10.0.0.1,bob,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-12 03:45:08,194.165.16.72,10.0.0.1,bob,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-12 03:45:16,194.165.16.72,10.0.0.1,bob,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-12 03:45:24,194.165.16.72,10.0.0.1,bob,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-12 03:45:32,194.165.16.72,10.0.0.1,bob,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-12 03:45:40,194.165.16.72,10.0.0.1,bob,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-12 03:45:48,194.165.16.72,10.0.0.1,bob,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
2024-01-12 03:45:56,194.165.16.72,10.0.0.1,bob,LOGIN_FAILED,password,401,Hydra/9.4,Russia,Moscow,False
